Job Id,Experience,Qualifications,Salary Range,location,Work Type,Job Posting Date,Job Title,Role,Unnamed: 9,Job Description,skills,Company
1.29614E+15,4 to 13 Years,MBA,$59K-$115K,City of Port Louis,Temporary,4/10/2023,Front-End Developer,Accessibility Developer,,"An Accessibility Developer focuses on making digital products and websites accessible to individuals with disabilities, ensuring compliance with accessibility standards.","Web accessibility standards (e.g., WCAG) Assistive technologies Accessibility testing tools HTML and CSS for accessibility ARIA (Accessible Rich Internet Applications) User experience (UX) for accessibility Usability testing with individuals with disabilities Collaboration Attention to detail",Otis Worldwide
4.36825E+14,1 to 10 Years,BA,$62K-$94K,Castries,Full-Time,11/27/2022,Sales Representative,Account Executive,,"Account Executives manage and grow relationships with existing clients or customers. They understand client needs, propose solutions, negotiate contracts, and ensure customer satisfaction, often working closely with sales and customer support teams.",Sales strategy and planning Account management Customer relationship management Solution selling Sales forecasting Contract negotiation Sales metrics and reporting,Qualcomm
1.64832E+15,4 to 12 Years,BCA,$55K-$111K,Muscat,Contract,3/17/2023,Customer Success Manager,Account Manager,,"An Account Manager builds and maintains relationships with clients or customers, ensuring their needs are met and promoting products or services to drive revenue and growth.",Account management Customer relationship management Sales and negotiation Business development Client needs analysis,Huntsman
1.19171E+15,4 to 9 Years,BA,$62K-$129K,Charlotte Amalie,Intern,5/30/2022,Account Director,Account Strategist,,"Account Strategists work in advertising or marketing agencies, managing client accounts. They develop strategies to meet client goals, oversee campaign execution, and maintain client satisfaction by providing expert guidance and solutions.",Account management Client relations Marketing strategies Campaign optimization Data analysis Communication skills,Bajaj Auto
6.31309E+13,0 to 11 Years,M.Tech,$55K-$115K,Paramaribo,Contract,5/8/2022,Financial Controller,Accounting Controller,,"Accounting Controllers manage an organizations accounting and financial reporting functions. They ensure accurate financial records, compliance with accounting standards, and timely financial reporting to support informed decision-making.","Accounting Financial reporting Financial audits Tax compliance Accounting software (e.g., SAP, Oracle) GAAP (Generally Accepted Accounting Principles)",Legal & General Group
1.33661E+15,4 to 12 Years,BA,$55K-$105K,Yerevan,Part-Time,7/30/2023,Finance Manager,Accounting Manager,,"Accounting Managers supervise accounting teams. They ensure accurate financial reporting, manage budgets, and oversee financial transactions and compliance with accounting standards.",Accounting principles Financial reporting Team management Budgeting Financial analysis,Procter & Gamble
2.07378E+15,2 to 14 Years,PhD,$61K-$82K,Sri Jayawardenepura Kotte,Temporary,10/8/2021,Nurse Practitioner,Acute Care Nurse Practitioner,,"Acute Care Nurse Practitioners focus on managing acute and critical medical conditions, often working in hospitals or emergency care settings.",Acute care nursing Emergency medicine Critical care Diagnostic tests Treatment planning,Ceconomy AG (Formerly Metro AG)
2.75877E+14,3 to 11 Years,BA,$56K-$106K,Monrovia,Temporary,12/20/2022,Substance Abuse Counselor,Addiction Counselor,,"An Addiction Counselor provides support and therapy to individuals struggling with addiction, helping them overcome substance abuse and develop healthier coping strategies.",Addiction counseling techniques Substance abuse treatment Counseling ethics,Gree Electric Appliances
1.80149E+15,3 to 15 Years,MBA,$64K-$115K,Budapest,Intern,12/26/2022,Data Entry Clerk,Administrative Assistant,,"An Administrative Assistant provides administrative support to the organization, including scheduling, document management, and assisting in day-to-day operations.",Office management Administrative tasks Communication and organization,ITC Limited
7.73347E+14,3 to 15 Years,PhD,$64K-$111K,Jerusalem,Full-Time,12/22/2021,Office Manager,Administrative Manager,,"Administrative Managers oversee office operations. They manage administrative staff, coordinate tasks, and ensure smooth office functioning to support the organizations goals.",Administrative leadership Office management Staff supervision Budgeting and financial management Process improvement Communication skills,Deere
