Role,Features
Accessibility Developer,"4 to 13 Years Front-End Developer MBA Web accessibility standards (e.g., WCAG) Assistive technologies Accessibility testing tools HTML and CSS for accessibility ARIA (Accessible Rich Internet Applications) User experience (UX) for accessibility Usability testing with individuals with disabilities Collaboration Attention to detail"
Account Executive,1 to 10 Years Sales Representative BA Sales strategy and planning Account management Customer relationship management Solution selling Sales forecasting Contract negotiation Sales metrics and reporting
Account Manager,4 to 12 Years Customer Success Manager BCA Account management Customer relationship management Sales and negotiation Business development Client needs analysis
Account Strategist,4 to 9 Years Account Director BA Account management Client relations Marketing strategies Campaign optimization Data analysis Communication skills
Accounting Controller,"0 to 11 Years Financial Controller M.Tech Accounting Financial reporting Financial audits Tax compliance Accounting software (e.g., SAP, Oracle) GAAP (Generally Accepted Accounting Principles)"
Accounting Manager,4 to 12 Years Finance Manager BA Accounting principles Financial reporting Team management Budgeting Financial analysis
Acute Care Nurse Practitioner,2 to 14 Years Nurse Practitioner PhD Acute care nursing Emergency medicine Critical care Diagnostic tests Treatment planning
Addiction Counselor,3 to 11 Years Substance Abuse Counselor BA Addiction counseling techniques Substance abuse treatment Counseling ethics
Administrative Assistant,3 to 15 Years Data Entry Clerk MBA Office management Administrative tasks Communication and organization
Administrative Manager,3 to 15 Years Office Manager PhD Administrative leadership Office management Staff supervision Budgeting and financial management Process improvement Communication skills
Adult Speech Therapist,0 to 9 Years Speech Therapist BBA Adult speech therapy Speech-language assessment Rehabilitation techniques Swallowing disorders Communication skills
Advertising Account Executive,2 to 14 Years Account Executive BCA Advertising and marketing knowledge Client relationship management Advertising campaign development Budget management Media planning and buying
Agile Project Manager,"1 to 11 Years Project Manager BCA Agile methodologies Scrum or Kanban Team collaboration Agile tools (e.g., Jira)"
Architectural Designer,"0 to 8 Years Architect MBA Architectural design software (e.g., AutoCAD, Revit) Building codes and regulations 3D modeling Visualization Sustainable design"
Art Curator,3 to 12 Years Art Director BA Art history and knowledge Art curation and exhibition planning Collections management Art market trends Cultural awareness
